id,category,question,score,max_score,rating,kw_score,rel_score,len_score,ken_score,kw_matched,kw_missed,word_count,response_time,sources_found,sources,answer_preview
1,Business Registration,How do I register a sole proprietorship in Kenya and how much does it cost?,3,5,Partial,0,1,1,1,sole proprietorship,"BRS, eCitizen, KES 950",239,5.3,2,fsd_kenya_msme_outlook_transforming_2024.pdf | fsd_kenya_msme_outlook_report_2024.pdf,"# Registering a Sole Proprietorship in Kenya  ## Registration Process  To register a sole proprietorship in Kenya, follow these steps:  ### 1. **Register with the County Government** - Visit your **Co"
2,Business Registration,What is the difference between a sole proprietorship and a limited liability company in Kenya?,4,5,Good,1,1,1,1,"liability, sole proprietorship",limited company,242,4.94,2,fsd_kenya_msme_outlook_report_2024.pdf | fsd_kenya_msme_outlook_transforming_2024.pdf,# Sole Proprietorship vs Limited Liability Company in Kenya  ## Key Differences  ### **Sole Proprietorship** - **Owner & Business are One**: You and your business are legally the same entity - **Perso
3,Business Registration,How do I register a partnership business in Kenya through BRS?,5,5,Excellent,2,1,1,1,"BRS, partnership, register",,242,6.02,3,doing_business_kenya_sme_guide_2024.pdf | business_registration_act_cap499.pdf | brs_registration_business_names_act.pdf,"# Registering a Partnership Business in Kenya through BRS  ## What Needs to be Registered  Under Kenya's Business Registration Act, a **general partnership must be registered** if: - It operates under"
4,Business Registration,What documents do I need to register a business name in Kenya on eCitizen?,4,5,Good,1,1,1,1,"eCitizen, national ID",KRA PIN,187,3.9,4,kenya_business_guide.txt | brs_faqs_complete_guide.pdf | doing_business_kenya_sme_guide_2024.pdf | business_registration_act_cap499.pdf,"# Documents Needed to Register a Business Name in Kenya on eCitizen  Based on the official Business Registration Service (BRS) process, here's what you need:  ## Required Documents:  1. **Auto-generat"
5,Business Registration,How do I convert my sole proprietorship to a limited company in Kenya?,4,5,Good,1,1,1,1,"limited company, convert",BRS,243,6.52,2,fsd_kenya_msme_outlook_report_2024.pdf | fsd_kenya_msme_outlook_transforming_2024.pdf,# Converting Your Sole Proprietorship to a Limited Company in Kenya  Here's the specific process and requirements:  ## Key Steps  ### 1. **Register with the Kenya Revenue Authority (KRA)** - Obtain a 
6,Taxation,What is Turnover Tax in Kenya and who qualifies to pay it?,4,5,Good,1,1,1,1,"Turnover Tax, TOT","KES, KRA",197,3.66,3,doing_business_kenya_sme_guide_2024.pdf | kra_turnover_tax.txt | kra_business_types_of_taxes.txt,# Turnover Tax (TOT) in Kenya  ## What is Turnover Tax?  Turnover Tax is a simplified tax regime for small and medium-sized businesses in Kenya. It's charged on **gross sales** (total revenue) rather 
7,Taxation,When is a business required to register for VAT in Kenya?,4,5,Good,1,1,1,1,"VAT, KRA","5 million, KES",216,4.18,1,kra_vat.txt,"# VAT Registration Requirements in Kenya  Based on the context provided, I can confirm that **VAT registration is required for certain business activities**, but the specific turnover threshold for ma"
8,Taxation,How does a small business pay PAYE to KRA for its employees?,5,5,Excellent,2,1,1,1,"PAYE, KRA, employee, salary",,246,5.56,2,kra_paye.txt | doing_business_kenya_sme_guide_2024.pdf,"# How to Pay PAYE to KRA for Your Employees  As a Kenya MSME business owner with employees, here's the step-by-step process:  ## 1. **Register for PAYE** - Once you hire employees, you must register f"
9,Taxation,What are the penalties for late filing of tax returns in Kenya?,5,5,Excellent,2,1,1,1,"penalty, KRA, late",fine,209,5.3,3,kra_offences_penalties.txt | kra_paye.txt | tax_procedures_act_cap469b.pdf,# Penalties for Late Filing of Tax Returns in Kenya  The penalties for late filing vary depending on the type of tax return:  ## Main Tax Returns  | Tax Type | Late Filing Penalty | |----------|------
10,Taxation,What is eTIMS and why does my business need it?,5,5,Excellent,2,1,1,1,"eTIMS, invoice, KRA, electronic",,233,4.2,3,kra_etims_what_is.txt | kra_etims_how_to_onboard.txt | kra_etims_install.txt,# What is eTIMS and Why Your Business Needs It  ## What is eTIMS?  **eTIMS** (electronic Tax Invoice Management System) is a software solution provided by the Kenya Revenue Authority (KRA) that enable
